car_id,car_company,car name,model_year,price,km covered,mileage,description,customer review rating (out of 10),customer review description
26,"Honda","Jazz",2020,950000,15000,18,"Honda Jazz with versatile seating and fuel-efficient engine. This car has been used for 2 years.",8,"Spacious interior and smooth transmission."
27,"Maruti Suzuki","Baleno",2019,800000,20000,19,"Maruti Suzuki Baleno with premium features and stylish design. This car has been used for 3 years.",8.5,"Good value for money. Reliable performance."
28,"Hyundai","Venue",2020,1000000,18000,17,"Hyundai Venue with modern design and feature-rich cabin. This car has been used for 2 years.",8,"Nice compact SUV. Comfortable for city driving."
29,"Volkswagen","Polo",2016,650000,40000,15,"Volkswagen Polo known for its solid build quality and handling. This car has been used for 6 years.",7.5,"Sporty and fun to drive. Maintenance costs are manageable."
30,"Ford","Figo",2018,700000,35000,18,"Ford Figo with a peppy engine and comfortable ride. This car has been used for 4 years.",8,"Smooth driving experience. Interior could be more refined."
31,"Toyota","Innova Crysta",2020,1700000,18000,14,"Spacious and reliable Toyota Innova Crysta suitable for family trips. This car has been used for 2 years.",9,"Luxurious interior with plenty of legroom. Good resale value."
32,"Honda","Amaze",2019,950000,25000,19,"Honda Amaze with fuel-efficient engine and comfortable cabin. This car has been used for 3 years.",8.5,"Smooth CVT transmission. Good value for money."
33,"Maruti Suzuki","Dzire",2018,850000,28000,20,"Maruti Suzuki Dzire with refined engine and feature-packed cabin. This car has been used for 4 years.",9,"Excellent fuel economy and spacious interior."
34,"Hyundai","Verna",2020,1300000,15000,17,"Hyundai Verna with sleek design and premium features. This car has been used for 1 year.",8,"Smooth automatic transmission. Stylish exterior."
35,"Volkswagen","Vento",2019,1050000,20000,15,"Volkswagen Vento known for its solid build and comfortable ride. This car has been used for 3 years.",8,"Sturdy build quality. Interior could be more luxurious."
36,"Ford","Aspire",2018,750000,30000,18,"Ford Aspire with a fun-to-drive nature and well-equipped cabin. This car has been used for 4 years.",7.5,"Responsive handling. Average fuel economy."
37,"Toyota","Fortuner",2020,2600000,12000,12,"Toyota Fortuner with powerful engine and off-road capability. This car has been used for 2 years.",9,"Tough and reliable SUV. High ground clearance."
38,"Honda","CR-V",2018,1900000,18000,13,"Honda CR-V with spacious interior and comfortable ride. This car has been used for 4 years.",8,"Smooth CVT transmission. Good for long drives."
39,"Maruti Suzuki","Ertiga",2019,1150000,28000,18,"Maruti Suzuki Ertiga with versatile seating and fuel-efficient engine. This car has been used for 3 years.",8.5,"Good family car with ample space. Affordable maintenance."
40,"Hyundai","Creta",2021,1500000,20000,16,"Hyundai Creta with stylish design and feature-rich cabin. This car has been used for 1 year.",9,"Smooth automatic transmission. Excellent build quality."
41,"Volkswagen","Tiguan",2020,2100000,18000,14,"Volkswagen Tiguan known for its premium interior and smooth ride. This car has been used for 2 years.",8.5,"Luxurious SUV with good handling. Expensive maintenance."
42,"Ford","Endeavour",2019,2300000,20000,12,"Ford Endeavour with rugged looks and powerful engine options. This car has been used for 3 years.",9,"Great off-road capabilities. Comfortable for long journeys."
43,"Toyota","Camry",2022,3200000,8000,15,"Toyota Camry with hybrid powertrain and luxurious features. This car has been used for 0 years.",9.5,"Smooth and refined ride. Excellent fuel economy."
44,"Honda","Accord",2021,3400000,12000,14,"Honda Accord with premium amenities and comfortable seating. This car has been used for 1 year.",9,"Spacious cabin with high-quality materials."
45,"Maruti Suzuki","Ciaz",2020,1100000,25000,16,"Maruti Suzuki Ciaz with elegant design and spacious cabin. This car has been used for 2 years.",8.5,"Smooth driving experience. Good fuel economy."
46,"Hyundai","Elantra",2021,1400000,18000,17,"Hyundai Elantra with striking looks and feature-packed cabin. This car has been used for 1 year.",9,"Stylish sedan with comfortable ride quality."
47,"Volkswagen","Passat",2019,1800000,22000,15,"Volkswagen Passat known for its refined engine and upscale interior. This car has been used for 3 years.",8,"Comfortable and spacious. Decent fuel economy."
48,"Ford","Mustang",2018,3600000,16000,12,"Iconic Ford Mustang with powerful V8 engine and sporty design. This car has been used for 4 years.",9.5,"Aggressive styling and exhilarating performance."
49,"Toyota","Yaris",2022,1250000,9000,16,"Toyota Yaris with reliable performance and comfortable ride. This car has been used for 0 years.",8.5,"Smooth CVT transmission. Good build quality."
50,"Honda","Jazz",2021,970000,11000,18,"Honda Jazz with versatile seating and fuel-efficient engine. This car has been used for 0 years.",8,"Spacious interior and smooth transmission."
51,"Maruti Suzuki","Baleno",2020,820000,19000,19,"Maruti Suzuki Baleno with premium features and stylish design. This car has been used for 1 year.",8.5,"Good value for money. Reliable performance."
52,"Hyundai","Venue",2021,1050000,15000,17,"Hyundai Venue with modern design and feature-rich cabin. This car has been used for 0 years.",8,"Nice compact SUV. Comfortable for city driving."
53,"Volkswagen","Polo",2017,700000,25000,15,"Volkswagen Polo known for its solid build quality and handling. This car has been used for 3 years.",7.5,"Sporty and fun to drive. Maintenance costs are manageable."
54,"Ford","Figo",2019,720000,32000,18,"Ford Figo with a peppy engine and comfortable ride. This car has been used for 2 years.",8,"Smooth driving experience. Interior could be more refined."
55,"Toyota","Innova Crysta",2021,1800000,15000,14,"Spacious and reliable Toyota Innova Crysta suitable for family trips. This car has been used for 1 year.",9,"Luxurious interior with plenty of legroom. Good resale value."
56,"Honda","Amaze",2020,970000,20000,19,"Honda Amaze with fuel-efficient engine and comfortable cabin. This car has been used for 2 years.",8.5,"Smooth CVT transmission. Good value for money."
57,"Maruti Suzuki","Dzire",2019,900000,25000,20,"Maruti Suzuki Dzire with refined engine and feature-packed cabin. This car has been used for 3 years.",9,"Excellent fuel economy and spacious interior."
58,"Hyundai","Verna",2021,1350000,12000,17,"Hyundai Verna with sleek design and premium features. This car has been used for 0 years.",8,"Smooth automatic transmission. Stylish exterior."
59,"Volkswagen","Vento",2020,1100000,18000,15,"Volkswagen Vento known for its solid build and comfortable ride. This car has been used for 2 years.",8,"Sturdy build quality. Interior could be more luxurious."
60,"Ford","Aspire",2019,770000,27000,18,"Ford Aspire with a fun-to-drive nature and well-equipped cabin. This car has been used for 2 years.",7.5,"Responsive handling. Average fuel economy."
61,"Toyota","Fortuner",2021,2700000,10000,12,"Toyota Fortuner with powerful engine and off-road capability. This car has been used for 1 year.",9,"Tough and reliable SUV. High ground clearance."
62,"Honda","CR-V",2019,2000000,15000,13,"Honda CR-V with spacious interior and comfortable ride. This car has been used for 2 years.",8,"Smooth CVT transmission. Good for long drives."
63,"Maruti Suzuki","Ertiga",2020,1200000,25000,18,"Maruti Suzuki Ertiga with versatile seating and fuel-efficient engine. This car has been used for 1 year.",8.5,"Good family car with ample space. Affordable maintenance."
64,"Hyundai","Creta",2022,1550000,18000,16,"Hyundai Creta with stylish design and feature-rich cabin. This car has been used for 0 years.",9,"Smooth automatic transmission. Excellent build quality."
65,"Volkswagen","Tiguan",2021,2200000,16000,14,"Volkswagen Tiguan known for its premium interior and smooth ride. This car has been used for 1 year.",8.5,"Luxurious SUV with good handling. Expensive maintenance."
66,"Ford","Endeavour",2020,2400000,18000,12,"Ford Endeavour with rugged looks and powerful engine options. This car has been used for 2 years.",9,"Great off-road capabilities. Comfortable for long journeys."
67,"Toyota","Camry",2023,3400000,7000,15,"Toyota Camry with hybrid powertrain and luxurious features. This car has been used for 0 years.",9.5,"Smooth and refined ride. Excellent fuel economy."
68,"Honda","Accord",2022,3600000,11000,14,"Honda Accord with premium amenities and comfortable seating. This car has been used for 1 year.",9,"Spacious cabin with high-quality materials."
69,"Maruti Suzuki","Ciaz",2021,1200000,28000,16,"Maruti Suzuki Ciaz with elegant design and spacious cabin. This car has been used for 0 years.",8.5,"Smooth driving experience. Good fuel economy."
70,"Hyundai","Elantra",2022,1500000,16000,17,"Hyundai Elantra with striking looks and feature-packed cabin. This car has been used for 1 year.",9,"Stylish sedan with comfortable ride quality."
71,"Volkswagen","Passat",2020,1900000,20000,15,"Volkswagen Passat known for its refined engine and upscale interior. This car has been used for 2 years.",8,"Comfortable and spacious. Decent fuel economy."
72,"Ford","Mustang",2019,3700000,13000,12,"Iconic Ford Mustang with powerful V8 engine and sporty design. This car has been used for 3 years.",9.5,"Aggressive styling and exhilarating performance."
73,"Toyota","Yaris",2023,1300000,8000,16,"Toyota Yaris with reliable performance and comfortable ride. This car has been used for 0 years.",8.5,"Smooth CVT transmission. Good build quality."
74,"Honda","Jazz",2022,990000,10000,18,"Honda Jazz with versatile seating and fuel-efficient engine. This car has been used for 1 year.",8,"Spacious interior and smooth transmission."
75,"Maruti Suzuki","Baleno",2021,840000,20000,19,"Maruti Suzuki Baleno with premium features and stylish design. This car has been used for 0 years.",8.5,"Good value for money. Reliable performance."
76,"Hyundai","Venue",2022,1100000,14000,17,"Hyundai Venue with modern design and feature-rich cabin. This car has been used for 0 years.",8,"Nice compact SUV. Comfortable for city driving."
77,"Volkswagen","Polo",2018,750000,28000,15,"Volkswagen Polo known for its solid build quality and handling. This car has been used for 4 years.",7.5,"Sporty and fun to drive. Maintenance costs are manageable."
78,"Ford","Figo",2020,770000,30000,18,"Ford Figo with a peppy engine and comfortable ride. This car has been used for 2 years.",8,"Smooth driving experience. Interior could be more refined."
79,"Toyota","Innova Crysta",2022,1900000,17000,14,"Spacious and reliable Toyota Innova Crysta suitable for family trips. This car has been used for 0 years.",9,"Luxurious interior with plenty of legroom. Good resale value."
80,"Honda","Amaze",2021,1000000,22000,19,"Honda Amaze with fuel-efficient engine and comfortable cabin. This car has been used for 1 year.",8.5,"Smooth CVT transmission. Good value for money."
81,"Maruti Suzuki","Dzire",2021,950000,24000,20,"Maruti Suzuki Dzire with refined engine and feature-packed cabin. This car has been used for 1 year.",8.5,"Excellent fuel economy and spacious interior."
82,"Hyundai","Verna",2022,1400000,13000,17,"Hyundai Verna with sleek design and premium features. This car has been used for 0 years.",8,"Smooth automatic transmission. Stylish exterior."
83,"Volkswagen","Vento",2021,1150000,19000,15,"Volkswagen Vento known for its solid build and comfortable ride. This car has been used for 1 year.",8,"Sturdy build quality. Interior could be more luxurious."
84,"Ford","Aspire",2020,800000,25000,18,"Ford Aspire with a fun-to-drive nature and well-equipped cabin. This car has been used for 2 years.",7.5,"Responsive handling. Average fuel economy."
85,"Toyota","Fortuner",2022,2800000,8000,12,"Toyota Fortuner with powerful engine and off-road capability. This car has been used for 0 years.",9,"Tough and reliable SUV. High ground clearance."
86,"Honda","CR-V",2020,2100000,16000,13,"Honda CR-V with spacious interior and comfortable ride. This car has been used for 2 years.",8,"Smooth CVT transmission. Good for long drives."
87,"Maruti Suzuki","Ertiga",2021,1250000,26000,18,"Maruti Suzuki Ertiga with versatile seating and fuel-efficient engine. This car has been used for 1 year.",8.5,"Good family car with ample space. Affordable maintenance."
88,"Hyundai","Creta",2023,1600000,15000,16,"Hyundai Creta with stylish design and feature-rich cabin. This car has been used for 0 years.",9,"Smooth automatic transmission. Excellent build quality."
89,"Volkswagen","Tiguan",2022,2300000,14000,14,"Volkswagen Tiguan known for its premium interior and smooth ride. This car has been used for 1 year.",8.5,"Luxurious SUV with good handling. Expensive maintenance."
90,"Ford","Endeavour",2021,2500000,16000,12,"Ford Endeavour with rugged looks and powerful engine options. This car has been used for 1 year.",9,"Great off-road capabilities. Comfortable for long journeys."
91,"Toyota","Camry",2024,3600000,5000,15,"Toyota Camry with hybrid powertrain and luxurious features. This car has been used for 0 years.",9.5,"Smooth and refined ride. Excellent fuel economy."
92,"Honda","Accord",2023,3800000,9000,14,"Honda Accord with premium amenities and comfortable seating. This car has been used for 1 year.",9,"Spacious cabin with high-quality materials."
93,"Maruti Suzuki","Ciaz",2022,1300000,26000,16,"Maruti Suzuki Ciaz with elegant design and spacious cabin. This car has been used for 0 years.",8.5,"Smooth driving experience. Good fuel economy."
94,"Hyundai","Elantra",2023,1600000,17000,17,"Hyundai Elantra with striking looks and feature-packed cabin. This car has been used for 0 years.",9,"Stylish sedan with comfortable ride quality."
95,"Volkswagen","Passat",2021,2000000,22000,15,"Volkswagen Passat known for its refined engine and upscale interior. This car has been used for 1 year.",8,"Comfortable and spacious. Decent fuel economy."
96,"Ford","Mustang",2020,3800000,14000,12,"Iconic Ford Mustang with powerful V8 engine and sporty design. This car has been used for 2 years.",9.5,"Aggressive styling and exhilarating performance."
97,"Toyota","Yaris",2024,1350000,7000,16,"Toyota Yaris with reliable performance and comfortable ride. This car has been used for 0 years.",8.5,"Smooth CVT transmission. Good build quality."
98,"Honda","Jazz",2023,1020000,8000,18,"Honda Jazz with versatile seating and fuel-efficient engine. This car has been used for 1 year.",8,"Spacious interior and smooth transmission."
99,"Maruti Suzuki","Baleno",2022,860000,22000,19,"Maruti Suzuki Baleno with premium features and stylish design. This car has been used for 0 years.",8.5,"Good value for money. Reliable performance."
100,"Hyundai","Venue",2023,1150000,16000,17,"Hyundai Venue with modern design and feature-rich cabin. This car has been used for 0 years.",8,"Nice compact SUV. Comfortable for city driving."
